run,region,n_called,n_truth,tp,precision,recall,f1
622,GRCh38_segdups,26,38,19,0.7307692307692307,0.5,0.5937499999999999
623,GRCh38_alldifficultregions,1167,294,226,0.19365895458440446,0.7687074829931972,0.30937713894592744
623,GRCh38_alllowmapandsegdupregions,196,43,31,0.15816326530612246,0.7209302325581395,0.2594142259414226
623,GRCh38_notinalldifficultregions,1943,867,675,0.3474009264024704,0.7785467128027682,0.4804270462633452
623,GRCh38_notinalllowmapandsegdupregions,2914,1118,870,0.29855868222374743,0.778175313059034,0.431547619047619
623,GRCh38_notinsegdups,2921,1123,873,0.29887024991441286,0.7773820124666073,0.43175074183976253
623,GRCh38_segdups,189,38,28,0.14814814814814814,0.7368421052631579,0.24669603524229075
624,GRCh38_alldifficultregions,249,294,15,0.060240963855421686,0.05102040816326531,0.05524861878453039
624,GRCh38_alllowmapandsegdupregions,4,43,0,0.0,0.0,0.0
624,GRCh38_notinalldifficultregions,540,867,61,0.11296296296296296,0.07035755478662054,0.0867093105899076
624,GRCh38_notinalllowmapandsegdupregions,785,1118,76,0.09681528662420383,0.06797853309481217,0.07987388334209143
624,GRCh38_notinsegdups,785,1123,76,0.09681528662420383,0.06767586821015138,0.07966457023060797
624,GRCh38_segdups,4,38,0,0.0,0.0,0.0
625,GRCh38_alldifficultregions,331,294,231,0.6978851963746223,0.7857142857142857,0.7392
625,GRCh38_alllowmapandsegdupregions,56,43,30,0.5357142857142857,0.6976744186046512,0.6060606060606061
625,GRCh38_notinalldifficultregions,959,867,710,0.7403545359749739,0.8189158016147635,0.7776560788608982
625,GRCh38_notinalllowmapandsegdupregions,1234,1118,911,0.7382495948136143,0.8148479427549195,0.7746598639455783
625,GRCh38_notinsegdups,1238,1123,915,0.7390953150242326,0.8147818343722173,0.7750952986022872
625,GRCh38_segdups,52,38,26,0.5,0.6842105263157895,0.5777777777777778
626,GRCh38_alldifficultregions,234,294,211,0.9017094017094017,0.717687074829932,0.7992424242424243
626,GRCh38_alllowmapandsegdupregions,16,43,12,0.75,0.27906976744186046,0.4067796610169491
626,GRCh38_notinalldifficultregions,772,867,690,0.8937823834196891,0.7958477508650519,0.8419768151311776
626,GRCh38_notinalllowmapandsegdupregions,990,1118,889,0.897979797979798,0.7951699463327371,0.8434535104364326
626,GRCh38_notinsegdups,992,1123,889,0.8961693548387096,0.7916295636687445,0.840661938534279
626,GRCh38_segdups,14,38,12,0.8571428571428571,0.3157894736842105,0.46153846153846156
627,GRCh38_alldifficultregions,656,294,242,0.36890243902439024,0.8231292517006803,0.5094736842105263
627,GRCh38_alllowmapandsegdupregions,98,43,34,0.3469387755102041,0.7906976744186046,0.4822695035460992
627,GRCh38_notinalldifficultregions,1553,867,735,0.4732775273663876,0.8477508650519031,0.6074380165289255
627,GRCh38_notinalllowmapandsegdupregions,2111,1118,943,0.44670772145902415,0.8434704830053668,0.5840817590585321
627,GRCh38_notinsegdups,2115,1123,947,0.4477541371158392,0.8432769367764915,0.5849289684990735
627,GRCh38_segdups,94,38,30,0.3191489361702128,0.7894736842105263,0.4545454545454545
628,GRCh38_alldifficultregions,330,294,212,0.6424242424242425,0.7210884353741497,0.6794871794871795
628,GRCh38_alllowmapandsegdupregions,37,43,29,0.7837837837837838,0.6744186046511628,0.725
628,GRCh38_notinalldifficultregions,912,867,682,0.7478070175438597,0.7866205305651672,0.7667228780213602
628,GRCh38_notinalllowmapandsegdupregions,1205,1118,865,0.7178423236514523,0.7737030411449016,0.7447266465777012
628,GRCh38_notinsegdups,1209,1123,868,0.717948717948718,0.7729296527159395,0.7444253859348199
628,GRCh38_segdups,33,38,26,0.7878787878787878,0.6842105263157895,0.732394366197183
629,GRCh38_alldifficultregions,924,294,218,0.23593073593073594,0.7414965986394558,0.3579638752052545
629,GRCh38_alllowmapandsegdupregions,178,43,30,0.16853932584269662,0.6976744186046512,0.2714932126696833
629,GRCh38_notinalldifficultregions,1303,867,655,0.5026861089792786,0.7554786620530565,0.6036866359447004
629,GRCh38_notinalllowmapandsegdupregions,2049,1118,843,0.41142020497803805,0.7540250447227191,0.5323650142090306
629,GRCh38_notinsegdups,2057,1123,847,0.4117647058823529,0.7542297417631345,0.5327044025157233
629,GRCh38_segdups,170,38,26,0.15294117647058825,0.6842105263157895,0.25000000000000006
630,GRCh38_alldifficultregions,573,294,177,0.3089005235602094,0.6020408163265306,0.4083044982698962
630,GRCh38_alllowmapandsegdupregions,11,43,3,0.2727272727272727,0.06976744186046512,0.11111111111111109
630,GRCh38_notinalldifficultregions,1194,867,638,0.5343383584589615,0.7358708189158016,0.6191169335274138
630,GRCh38_notinalllowmapandsegdupregions,1756,1118,812,0.4624145785876993,0.7262969588550984,0.5650661099512875
630,GRCh38_notinsegdups,1756,1123,812,0.4624145785876993,0.7230632235084595,0.5640847516498784
630,GRCh38_segdups,11,38,3,0.2727272727272727,0.07894736842105263,0.12244897959183672
631,GRCh38_alldifficultregions,331,294,231,0.6978851963746223,0.7857142857142857,0.7392
631,GRCh38_alllowmapandsegdupregions,56,43,30,0.5357142857142857,0.6976744186046512,0.6060606060606061
631,GRCh38_notinalldifficultregions,959,867,710,0.7403545359749739,0.8189158016147635,0.7776560788608982
631,GRCh38_notinalllowmapandsegdupregions,1234,1118,911,0.7382495948136143,0.8148479427549195,0.7746598639455783
631,GRCh38_notinsegdups,1238,1123,915,0.7390953150242326,0.8147818343722173,0.7750952986022872
631,GRCh38_segdups,52,38,26,0.5,0.6842105263157895,0.5777777777777778
632,GRCh38_alldifficultregions,234,294,211,0.9017094017094017,0.717687074829932,0.7992424242424243
632,GRCh38_alllowmapandsegdupregions,16,43,12,0.75,0.27906976744186046,0.4067796610169491
632,GRCh38_notinalldifficultregions,772,867,690,0.8937823834196891,0.7958477508650519,0.8419768151311776
632,GRCh38_notinalllowmapandsegdupregions,990,1118,889,0.897979797979798,0.7951699463327371,0.8434535104364326
632,GRCh38_notinsegdups,992,1123,889,0.8961693548387096,0.7916295636687445,0.840661938534279
632,GRCh38_segdups,14,38,12,0.8571428571428571,0.3157894736842105,0.46153846153846156
633,GRCh38_alldifficultregions,656,294,242,0.36890243902439024,0.8231292517006803,0.5094736842105263
633,GRCh38_alllowmapandsegdupregions,98,43,34,0.3469387755102041,0.7906976744186046,0.4822695035460992
633,GRCh38_notinalldifficultregions,1553,867,735,0.4732775273663876,0.8477508650519031,0.6074380165289255
633,GRCh38_notinalllowmapandsegdupregions,2111,1118,943,0.44670772145902415,0.8434704830053668,0.5840817590585321
633,GRCh38_notinsegdups,2115,1123,947,0.4477541371158392,0.8432769367764915,0.5849289684990735
633,GRCh38_segdups,94,38,30,0.3191489361702128,0.7894736842105263,0.4545454545454545
634,GRCh38_alldifficultregions,330,294,212,0.6424242424242425,0.7210884353741497,0.6794871794871795
634,GRCh38_alllowmapandsegdupregions,37,43,29,0.7837837837837838,0.6744186046511628,0.725
634,GRCh38_notinalldifficultregions,912,867,682,0.7478070175438597,0.7866205305651672,0.7667228780213602
634,GRCh38_notinalllowmapandsegdupregions,1205,1118,865,0.7178423236514523,0.7737030411449016,0.7447266465777012
634,GRCh38_notinsegdups,1209,1123,868,0.717948717948718,0.7729296527159395,0.7444253859348199
634,GRCh38_segdups,33,38,26,0.7878787878787878,0.6842105263157895,0.732394366197183
635,GRCh38_alldifficultregions,924,294,218,0.23593073593073594,0.7414965986394558,0.3579638752052545
635,GRCh38_alllowmapandsegdupregions,178,43,30,0.16853932584269662,0.6976744186046512,0.2714932126696833
635,GRCh38_notinalldifficultregions,1303,867,655,0.5026861089792786,0.7554786620530565,0.6036866359447004
635,GRCh38_notinalllowmapandsegdupregions,2049,1118,843,0.41142020497803805,0.7540250447227191,0.5323650142090306
635,GRCh38_notinsegdups,2057,1123,847,0.4117647058823529,0.7542297417631345,0.5327044025157233
635,GRCh38_segdups,170,38,26,0.15294117647058825,0.6842105263157895,0.25000000000000006
636,GRCh38_alldifficultregions,573,294,177,0.3089005235602094,0.6020408163265306,0.4083044982698962
636,GRCh38_alllowmapandsegdupregions,11,43,3,0.2727272727272727,0.06976744186046512,0.11111111111111109
