IDs,phase,Sample,HOW,isTrimmed,baseRecalibration,Mapper,Variant Caller,Duplicates,File Link,Result VCF Count,Kim yaptı :),Notes:
TestCase 108,done,IL,Altay + COSAP,no,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/142hmYTPisjxS4ae-IPshHwz9j2F5KSlJ?usp=sharing,,Gül Eda,
TestCase 109,done,IL,Altay + COSAP,no,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1ZrrsRNHXE_TH8FQ9WWnNtlNLoF3Vidk8?usp=sharing,,Gül Eda,
TestCase 110,done,IL,Altay + COSAP,no,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1oVG2dgztmnuvPqd0ZXPLeLvQ2Mte6W-l?usp=sharing,,Gül Eda,
TestCase 111,done,IL,Altay + COSAP,no,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1Qo8ug-ZF_yr7mEpIZPbYHg5NyAd0TI5E?usp=sharing,,Gül Eda,
TestCase 112,done,IL,Altay + COSAP,no,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1bYZ5wy6lEIqoSZ2gWfjpbAcYgZh2apcJ?usp=sharing,,Gül Eda,
TestCase 113,done,IL,Altay + COSAP,yes,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1ozBemlCch2KnY-i_fsCb093dWjA-Ni88?usp=sharing,,Gül Eda,
TestCase 114,done,IL,Altay + COSAP,yes,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1Ashf0-W_eK05MG2NsqdDmRBKRvbA5Xbm?usp=sharing,,Gül Eda,
TestCase 115,done,IL,Altay + COSAP,yes,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1SDCbGNZoYigCapzmVKnKkPkIKTFqzAPC?usp=sharing,,Gül Eda,
TestCase 116,done,IL,Altay + COSAP,yes,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1M-vWsEoyIR2Zi_VeJI49z4KWPxDx62N5?usp=sharing,,Gül Eda,
TestCase 117,done,IL,Altay + COSAP,yes,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1Qay83WEG0VwHr8qBmnS2M4KQVb6tmT4n?usp=sharing,,Gül Eda,
TestCase 118,done,IL,Altay + COSAP,yes,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1B62fWtlo-jZ7npm6dkFH2Ote_4Nqc7YM?usp=sharing,,Gül Eda,
TestCase 119,done,IL,Altay + COSAP,yes,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/16PKS5y-3T5RNfTmgbtc1rxD9hZvr1MlL?usp=sharing,,Gül Eda,
TestCase 120,done,IL,Altay + COSAP,yes,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1rEXfpJeuyNrhbYGTWG3eL_cHk96dnyHi?usp=sharing,,Gül Eda,
TestCase 121,done,IL,Altay + COSAP,no,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1B123kJQ3qrR1xHZLWMlCjV_GwNMgP8Z4?usp=sharing,,Gül Eda,
TestCase 122,done,IL,Altay + COSAP,no,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1uK5NMsIkxqT0DSlrN461lb9IbM-yVDYe?usp=sharing,,Gül Eda,
TestCase 123,done,IL,Altay + COSAP,no,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/15gG5zVnTnr-Pphqhmwoo6dpB0gvqDznN?usp=sharing,,Gül Eda,
TestCase 124,done,IL,Altay + COSAP,no,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1Pe9AtME9_J9LGbSlKVNWv0O7ZiOjU3N_?usp=sharing,,Gül Eda,
TestCase 125,done,IL,Altay + COSAP,no,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1n8r4bDGoqP3gEsnfLP5izSduDfhrEfqo?usp=sharing,,Gül Eda,
TestCase 126,done,IL,Altay + COSAP,no,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1JEU7XnBvC0c2910dMILI-F40vAWVKTKp?usp=sharing,,Gül Eda,
TestCase 127,done,IL,Altay + COSAP,no,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1Js0xFhHFm26qhxdUG_4YA6Yh83OlHf6o?usp=sharing,,Gül Eda,
TestCase 128,done,IL,Altay + COSAP,no,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1tmKMNvtWCt7-Q4WrKzXADM9t7BwLN483?usp=sharing,,Gül Eda,
TestCase 129,done,EA,Uhem + COSAP,yes,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1D9QEOkjna6GYqUys-u3NibdUpsMQNQKt?usp=sharing,,Gül Eda,
TestCase 130,done,EA,Uhem + COSAP,yes,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1k7Z_im4nRoLFXwDf4Z_feXj1Rz2xTFlk?usp=sharing,,Gül Eda,
