TestCaseNo,phase,Sample,operatingSystem,Environment,isTrimmed,baseRecalibration,Mapper,M_Version,VariantCaller,VC_Version,ReferenceGenom,Duplicates,VariantFilter,FilterPass,SOMATICfilter,remove_indels,TMB,FileLink,Result VCF Count,Author,Slurm_id,Node,ElapsedTime
TestCase 228,done,NC,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,13.657340086043966,https://drive.google.com/drive/folders/1Tvj2csY6zhVGMxh1cC0fcWgpBhFwOlfn?usp=sharing,1103,GÜL EDA,655356.0,s023,1:16:19
TestCase 231,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,16.257558960086783,https://drive.google.com/drive/folders/1Nm0gZjs-lqE-MTv_T8G40MGBFCAp2Y4W?usp=sharing,1313,GÜL EDA,655629.0,s022,0:49:57
TestCase 232,done,EA,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,15.229853405107956,https://drive.google.com/drive/folders/1wR94vbmRUX1xPa2m2Z9TaqF_jfZPKpuj?usp=share_link,1230,GUL EDA,664680.0,f003,02:14:47
TestCase 233,done,LL,,Altay + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,16.257558960086783,https://drive.google.com/drive/folders/1GcntHVeKuCfyY8G6cxBOnXUJcmfzlTPT?usp=share_link,1313,GÜL EDA,29194.0,a044,00:53:31
TestCase 234,done,NC,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,14.969831517703676,https://drive.google.com/drive/folders/1A0k55VyHQp_UCPSqJWjhjuKV4HcNBMTW?usp=sharing,1209,GÜL EDA,655356.0,s023,1:19:49
TestCase 237,done,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,10.37611150689469,https://drive.google.com/drive/folders/1JsmwwjSDtoaoR1tIpMyyYWKag5I8gUjV?usp=sharing,838,GÜL EDA,655629.0,s022,1:30:34
TestCase 238,done,EA,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,13.372554209363086,https://drive.google.com/drive/folders/19O4Sb3fdNSoqC7kYfDeNoWkMF6nXFZXk?usp=share_link,1080,GUL EDA,664680.0,f003,03:51:50
TestCase 239,done,LL,,Altay + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,10.37611150689469,https://drive.google.com/drive/folders/1kukQH2yiLnm66j61uGSd8S3hW21SjsXQ?usp=share_link,838,GÜL EDA,29194.0,a044,01:27:47
TestCase 240,done,NC,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,12.939184397022615,https://drive.google.com/drive/folders/1YDLG_EzvICMJ6fjmNWfQ4ziZMa1p5HOJ?usp=sharing,1045,GÜL EDA,655356.0,s023,2:39:04
TestCase 243,done,LL,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,27.364208150641126,https://drive.google.com/drive/folders/1gpAAI9G-2f4NfeCgEjoP3jOisi5c2w_d?usp=sharing,2210,GÜL EDA,658694.0,s011,1:30:55
TestCase 244,done,EA,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,19.192091689363686,https://drive.google.com/drive/folders/1hxiYE-W2m1wEOBczvILIsTzj_2Vi2O0Y?usp=share_link,1550,GUL EDA,664684.0,s030,04:36:26
TestCase 245,done,LL,,Altay + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,27.364208150641126,https://drive.google.com/drive/folders/10HWe-R5C5ieizaJABtRr7S0-86i_n4lp?usp=share_link,2210,GÜL EDA,29306.0,a059,01:31:54
TestCase 246,done,NC,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,18.56060996281043,https://drive.google.com/drive/folders/1IZH3Tqx8wrW69dTiHWxeW_NuwteqlrPR?usp=sharing,1499,GÜL EDA,658817.0,s021,2:34:52
TestCase 249,done,LL,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,32.46558994162038,https://drive.google.com/drive/folders/19miaDaZlws1ne145avDrLZWdm9Fedpv5?usp=sharing,2622,GÜL EDA,658694.0,s011,0:40:53
